SalesOrderNumber,OrderDate,ItemsSold,SalesAmount,Country,ProductsEnum
SO61269,1/1/2015,2,84.98,United States,2
SO61270,1/1/2015,1,21.98,Australia,4
SO61271,1/1/2015,2,23.78,Australia,2
SO61272,1/1/2015,2,7.28,Australia,1
SO61273,1/1/2015,1,4.99,Australia,3
SO61274,1/1/2015,2,78.98,Australia,1
SO61275,1/1/2015,1,34.99,Australia,2
SO61276,1/1/2015,2,62.98,Australia,2
SO61277,1/1/2015,3,627.97,Germany,1
SO61278,1/1/2015,4,1768.96,United Kingdom,1
SO61279,1/1/2015,2,2316.97,United Kingdom,2
SO61280,1/1/2015,1,34.99,United States,2
SO61281,1/1/2015,1,24.99,United States,3
SO61282,1/1/2015,1,2.29,United States,4
SO61283,1/1/2015,3,60.47,United States,2
SO61284,1/1/2015,2,23.78,United States,3
SO61285,1/1/2015,3,71.58,United States,2
SO61286,1/1/2015,2,34.98,Canada,1
SO61287,1/1/2015,3,68.97,Canada,1
SO61288,1/1/2015,3,69.97,Canada,2
SO61289,1/1/2015,3,69.97,United States,2
SO61290,1/1/2015,1,9.99,United States,3
SO61291,1/1/2015,1,69.99,United States,2
SO61292,1/1/2015,2,14.98,United States,2
SO61293,1/1/2015,3,89.97,United States,2
SO61294,1/1/2015,2,12.94,United States,2
SO61295,1/1/2015,2,7.28,United States,2
SO61296,1/1/2015,1,21.98,Germany,3
SO61297,1/1/2015,5,101.95,United Kingdom,1
SO61298,1/1/2015,3,48.97,United Kingdom,2
SO61299,1/1/2015,2,39.99,United States,3
SO61300,1/1/2015,4,100.46,United States,1
SO61301,1/1/2015,3,2479.94,United States,2
SO61302,1/1/2015,3,2309.97,United States,2
SO61303,1/1/2015,2,2419.06,United Kingdom,1
SO61304,1/1/2015,4,1263.82,United Kingdom,1
SO61305,1/1/2015,1,1700.99,Australia,2
SO61306,1/1/2015,3,1714.97,Australia,1
SO61307,1/1/2015,2,1735.98,Australia,1
SO61308,1/1/2015,3,2457.33,Australia,1
SO61309,1/1/2015,2,2439.99,Australia,1
SO61310,1/1/2015,2,561.48,Germany,1
SO61311,1/1/2015,2,548.98,France,1
SO61312,1/1/2015,1,742.35,Australia,3
SO61313,1/2/2015,3,1744.97,Germany,3
SO61314,1/2/2015,1,120,Canada,2
SO61315,1/2/2015,5,126.95,Australia,1
SO61316,1/2/2015,2,32.28,Australia,2
SO61317,1/2/2015,1,21.98,Australia,2
SO61318,1/2/2015,2,56.97,Australia,2
SO61319,1/2/2015,3,27.77,Australia,2
SO61320,1/2/2015,3,49.97,Australia,2
SO61321,1/2/2015,2,74.48,Australia,2
SO61322,1/2/2015,2,122.29,Australia,2
SO61323,1/2/2015,2,1735.98,Germany,1
SO61324,1/2/2015,2,1735.98,Germany,2
SO61325,1/2/2015,3,1779.47,United Kingdom,2
SO61326,1/2/2015,2,2451.3,Germany,2
SO61327,1/2/2015,3,2338.97,Germany,2
SO61328,1/2/2015,1,53.99,United States,2
SO61329,1/2/2015,3,68.97,United States,2
SO61330,1/2/2015,2,36.59,United States,2
SO61331,1/2/2015,3,38.88,Canada,1
SO61332,1/2/2015,2,29.98,United States,1
SO61333,1/2/2015,1,29.99,Canada,2
SO61334,1/2/2015,2,32.28,United States,2
SO61335,1/2/2015,1,69.99,United States,4
SO61336,1/2/2015,2,78.98,United States,2
SO61337,1/2/2015,1,4.99,Canada,2
SO61338,1/2/2015,2,39.98,United States,1
SO61339,1/2/2015,2,85.48,United States,1
SO61340,1/2/2015,4,39.25,United States,2
SO61341,1/2/2015,2,71.97,United Kingdom,1
SO61342,1/2/2015,3,42.28,Germany,2
SO61343,1/2/2015,2,29.48,United Kingdom,1
SO61344,1/2/2015,3,37.27,France,2
SO61345,1/2/2015,3,69.97,Germany,2
SO61346,1/2/2015,1,4.99,United Kingdom,2
SO61347,1/2/2015,3,83.47,Germany,1
SO61348,1/2/2015,3,58.47,France,2
SO61349,1/2/2015,3,68.97,United Kingdom,2
SO61350,1/2/2015,3,74.98,United States,2
SO61351,1/2/2015,3,91.97,United States,2
SO61352,1/2/2015,1,35,United States,2
SO61353,1/2/2015,3,120.47,Canada,2
SO61355,1/2/2015,1,49.99,United Kingdom,2
SO61356,1/2/2015,1,769.49,United States,1
SO61357,1/2/2015,5,863.95,United States,2
SO61358,1/2/2015,3,2405.47,United States,2
SO61359,1/2/2015,1,2319.99,United States,1
