TargetAmount,OrderDate,ActualAmount,ProductCategory,Country
365.25,1/1/2015,548.98,Bikes,France
568.25,1/1/2015,30.48,Bikes,Germany
749.25,1/1/2015,3666.89,Bikes,United Kingdom
381,1/1/2015,39.98,Bikes,Canada
309.5,1/1/2015,4344.31,Bikes,Australia
2348,1/1/2015,63.5,Bikes,United States
396,1/1/2015,0,Clothing,France
393.5,1/1/2015,1126.96,Clothing,Germany
280.25,1/1/2015,42.97,Clothing,United Kingdom
512,1/1/2015,4.99,Clothing,Canada
529,1/1/2015,747.34,Clothing,Australia
2602.25,1/1/2015,158.42,Clothing,United States
327.75,1/1/2015,0,Accessories,France
467,1/1/2015,0,Accessories,Germany
1528,1/1/2015,104.97,Accessories,United Kingdom
349.5,1/1/2015,0,Accessories,Canada
632.25,1/1/2015,75.97,Accessories,Australia
2867,1/1/2015,141.12,Accessories,United States
381,1/2/2015,3.99,Bikes,Canada
2348,1/2/2015,3949.29,Bikes,United States
365.25,1/2/2015,13.98,Bikes,France
749.25,1/2/2015,46.47,Bikes,United Kingdom
568.25,1/2/2015,113.47,Bikes,Germany
309.5,1/2/2015,4907.39,Bikes,Australia
2288.75,1/2/2015,96.25,Components,France
1777.75,1/2/2015,1904.41,Components,United Kingdom
1698.25,1/2/2015,8226.56,Components,Germany
512,1/2/2015,65.79,Clothing,Canada
2602.25,1/2/2015,2442.45,Clothing,United States
396,1/2/2015,24.49,Clothing,France
280.25,1/2/2015,53.99,Clothing,United Kingdom
393.5,1/2/2015,1827.9,Clothing,Germany
529,1/2/2015,3079.05,Clothing,Australia
349.5,1/2/2015,0,Accessories,Canada
2867,1/2/2015,2551.5,Accessories,United States
327.75,1/2/2015,2414.06,Accessories,France
1528,1/2/2015,0,Accessories,United Kingdom
467,1/2/2015,34.99,Accessories,Germany
632.25,1/2/2015,75.26,Accessories,Australia
314.5,1/3/2015,2418.94,Bikes,United Kingdom
2877.75,1/3/2015,2563.89,Bikes,United States
818.25,1/3/2015,83.98,Bikes,France
795.5,1/3/2015,1079.98,Bikes,Germany
768,1/3/2015,115.95,Bikes,Australia
528.5,1/3/2015,119.45,Bikes,Canada
595.25,1/3/2015,3569.19,Components,Australia
680.25,1/3/2015,0,Clothing,United Kingdom
3196.5,1/3/2015,134.94,Clothing,United States
459.75,1/3/2015,123.99,Clothing,France
591.25,1/3/2015,30.48,Clothing,Germany
802.75,1/3/2015,2329.98,Clothing,Australia
720.75,1/3/2015,2462.02,Clothing,Canada
80.75,1/3/2015,0,Accessories,United Kingdom
2180.75,1/3/2015,77.96,Accessories,United States
627.5,1/3/2015,2483.33,Accessories,France
539,1/3/2015,2419.06,Accessories,Germany
396.75,1/3/2015,2275.96,Accessories,Australia
435.25,1/3/2015,7.95,Accessories,Canada
528.5,1/4/2015,109.48,Bikes,Canada
2877.75,1/4/2015,4604.96,Bikes,United States
818.25,1/4/2015,787.34,Bikes,France
795.5,1/4/2015,1754.98,Bikes,Germany
768,1/4/2015,53.87,Bikes,Australia
314.5,1/4/2015,2393.06,Bikes,United Kingdom
12609.75,1/4/2015,2607.08,Components,United States
1473,1/4/2015,5501.15,Components,France
720.75,1/4/2015,148.95,Clothing,Canada
3196.5,1/4/2015,179.75,Clothing,United States
459.75,1/4/2015,2420.92,Clothing,France
591.25,1/4/2015,0,Clothing,Germany
802.75,1/4/2015,1983.33,Clothing,Australia
680.25,1/4/2015,113.97,Clothing,United Kingdom
435.25,1/4/2015,2423.64,Accessories,Canada
2180.75,1/4/2015,0,Accessories,United States
627.5,1/4/2015,4.99,Accessories,France
539,1/4/2015,49.99,Accessories,Germany
396.75,1/4/2015,33.98,Accessories,Australia
80.75,1/4/2015,561.97,Accessories,United Kingdom
768,1/5/2015,2455.24,Bikes,Australia
2877.75,1/5/2015,227.96,Bikes,United States
314.5,1/5/2015,814.7,Bikes,United Kingdom
795.5,1/5/2015,0,Bikes,Germany
528.5,1/5/2015,94.98,Bikes,Canada
818.25,1/5/2015,30.48,Bikes,France
802.75,1/5/2015,2508.32,Clothing,Australia
3196.5,1/5/2015,115.52,Clothing,United States
680.25,1/5/2015,2324.97,Clothing,United Kingdom
591.25,1/5/2015,0,Clothing,Germany
720.75,1/5/2015,658.43,Clothing,Canada
459.75,1/5/2015,0,Clothing,France
396.75,1/5/2015,93.97,Accessories,Australia
2180.75,1/5/2015,59.98,Accessories,United States
80.75,1/5/2015,76.27,Accessories,United Kingdom
539,1/5/2015,0,Accessories,Germany
435.25,1/5/2015,2514.69,Accessories,Canada
627.5,1/5/2015,2344.98,Accessories,France
795.5,1/6/2015,53.96,Bikes,Germany
528.5,1/6/2015,9.98,Bikes,Canada
818.25,1/6/2015,2424.05,Bikes,France
768,1/6/2015,2297.95,Bikes,Australia
314.5,1/6/2015,2892.96,Bikes,United Kingdom
2877.75,1/6/2015,741.9,Bikes,United States
591.25,1/6/2015,1736.95,Clothing,Germany
720.75,1/6/2015,103.24,Clothing,Canada
459.75,1/6/2015,646.95,Clothing,France
802.75,1/6/2015,48.24,Clothing,Australia
680.25,1/6/2015,164,Clothing,United Kingdom
3196.5,1/6/2015,3179.4,Clothing,United States
539,1/6/2015,34.99,Accessories,Germany
435.25,1/6/2015,160.92,Accessories,Canada
627.5,1/6/2015,0,Accessories,France
396.75,1/6/2015,890.76,Accessories,Australia
80.75,1/6/2015,1164.47,Accessories,United Kingdom
2180.75,1/6/2015,89.2,Accessories,United States
768,1/7/2015,2512.32,Bikes,Australia
2877.75,1/7/2015,4795.91,Bikes,United States
795.5,1/7/2015,4.99,Bikes,Germany
314.5,1/7/2015,1214.85,Bikes,United Kingdom
818.25,1/7/2015,2578.87,Bikes,France
528.5,1/7/2015,2323.55,Bikes,Canada
802.75,1/7/2015,34.99,Clothing,Australia
3196.5,1/7/2015,7283.24,Clothing,United States
591.25,1/7/2015,132.76,Clothing,Germany
680.25,1/7/2015,21.98,Clothing,United Kingdom
459.75,1/7/2015,4689.32,Clothing,France
720.75,1/7/2015,262.41,Clothing,Canada
396.75,1/7/2015,2443.05,Accessories,Australia
2180.75,1/7/2015,2538.99,Accessories,United States
539,1/7/2015,29.98,Accessories,Germany
80.75,1/7/2015,8.99,Accessories,United Kingdom
627.5,1/7/2015,49.99,Accessories,France
435.25,1/7/2015,48.77,Accessories,Canada
2877.75,1/8/2015,4664.72,Bikes,United States
818.25,1/8/2015,582.96,Bikes,France
795.5,1/8/2015,2459.96,Bikes,Germany
314.5,1/8/2015,2308.97,Bikes,United Kingdom
768,1/8/2015,52.46,Bikes,Australia
528.5,1/8/2015,57.98,Bikes,Canada
3196.5,1/8/2015,988.7,Clothing,United States
459.75,1/8/2015,3081.8,Clothing,France
591.25,1/8/2015,42.28,Clothing,Germany
680.25,1/8/2015,37.27,Clothing,United Kingdom
802.75,1/8/2015,2446.73,Clothing,Australia
